"filename", "language", "JSON", "Python", "JavaScript", "Dotenv", "PostCSS", "Ini", "XML", "JavaScript JSX", "Markdown", "pip requirements", "HTML", "CSV", "comment", "blank", "total"
"c:\Users\jyoti\emergecy\backend\.env", "Dotenv", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 32
"c:\Users\jyoti\emergecy\backend\Earthquakes.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17806, 0, 1, 17807
"c:\Users\jyoti\emergecy\backend\alembic.ini", "Ini", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 25, 117
"c:\Users\jyoti\emergecy\backend\alembic\env.py", "Python", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 84
"c:\Users\jyoti\emergecy\backend\alembic\versions\978b8fc1ebc3_initial.py", "Python", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 205
"c:\Users\jyoti\emergecy\backend\alembic\versions\f52c7af886b2_initial_schema.py", "Python", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 11, 213
"c:\Users\jyoti\emergecy\backend\app\api\v1\api_router.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 42
"c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\__init__.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\analytics.py", "Python", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 53
"c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\auth.py", "Python", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 86
"c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\emergency.py", "Python", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 87
"c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\geospatial.py", "Python", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 105
"c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\incident_predictions.py", "Python", 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 21, 182
"c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\incidents.py", "Python", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 144
"c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\predictions.py", "Python", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 138
"c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\preparedness.py", "Python", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 107
"c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\realtime.py", "Python", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24, 122
"c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\resource_predictions.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\tasks.py", "Python", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 119
"c:\Users\jyoti\emergecy\backend\app\api\v1\endpoints\users.py", "Python", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 112
"c:\Users\jyoti\emergecy\backend\app\core\config.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 39
"c:\Users\jyoti\emergecy\backend\app\core\dependencies.py", "Python", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 119
