Date : 2026-03-12 12:04:43
Directory : c:\Users\jyoti\emergecy
Total : 201 files,  113632 codes, 1076 comments, 3148 blanks, all 117856 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| CSV              |          3 |     88,265 |          0 |          3 |     88,268 |
| JavaScript JSX   |         49 |      7,357 |        403 |        889 |      8,649 |
| JSON             |          5 |      6,998 |          0 |          5 |      7,003 |
| Python           |         98 |      6,671 |        562 |      1,639 |      8,872 |
| JavaScript       |         29 |      2,098 |         93 |        450 |      2,641 |
| HTML             |          4 |      1,686 |          0 |         45 |      1,731 |
| PostCSS          |          5 |        380 |         18 |         61 |        459 |
| Ini              |          2 |        127 |          0 |         31 |        158 |
| Dotenv           |          2 |         19 |          0 |         16 |         35 |
| pip requirements |          1 |         19 |          0 |          0 |         19 |
| Markdown         |          1 |         10 |          0 |          9 |         19 |
| XML              |          2 |          2 |          0 |          0 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        201 |    113,632 |      1,076 |      3,148 |    117,856 |
| . (Files)                                                                                                           |          3 |        643 |          0 |          5 |        648 |
| backend                                                                                                             |        104 |     95,084 |        562 |      1,686 |     97,332 |
| backend (Files)                                                                                                     |          7 |     88,427 |          0 |         50 |     88,477 |
| backend\alembic                                                                                                     |          3 |        422 |         38 |         42 |        502 |
| backend\alembic (Files)                                                                                             |          1 |         56 |          7 |         21 |         84 |
| backend\alembic\versions                                                                                            |          2 |        366 |         31 |         21 |        418 |
| backend\app                                                                                                         |         64 |      3,875 |        271 |      1,039 |      5,185 |
| backend\app (Files)                                                                                                 |          1 |         55 |          2 |         25 |         82 |
| backend\app\api                                                                                                     |         14 |      1,090 |         69 |        199 |      1,358 |
| backend\app\api\v1                                                                                                  |         14 |      1,090 |         69 |        199 |      1,358 |
| backend\app\api\v1 (Files)                                                                                          |          1 |         28 |          1 |         13 |         42 |
| backend\app\api\v1\endpoints                                                                                        |         13 |      1,062 |         68 |        186 |      1,316 |
| backend\app\core                                                                                                    |          4 |        211 |         10 |         62 |        283 |
