"filename", "language", "PostCSS", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\jyoti\emergecy\safetrack-frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 1, 1
"c:\Users\jyoti\emergecy\safetrack-frontend\src\layouts\AuthLayout.jsx", "JavaScript JSX", 0, 0, 0, -4, 3, -1
"c:\Users\jyoti\emergecy\safetrack-frontend\src\layouts\DashboardLayout.jsx", "JavaScript JSX", 0, -80, 0, 2, -4, -82
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\Notifications\IncidentNotifications.jsx", "JavaScript JSX", 0, 0, 0, -2, 0, -2
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\Notifications\NotificationsCenter.jsx", "JavaScript JSX", 0, 0, 0, -4, 4, 0
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\Notifications\NotificationsContext.jsx", "JavaScript JSX", 0, 0, 0, -28, 4, -24
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\analytics\pages\AnalyticsDashboardPage.jsx", "JavaScript JSX", 0, 0, 0, -1, 2, 1
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\dashboard\pages\HomePage.jsx", "JavaScript JSX", 0, 27, 0, 1, 10, 38
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\emergency\pages\SosTriggerPage.jsx", "JavaScript JSX", 0, -8, 0, 0, 2, -6
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\incident-predictions\components\IncidentPredictionsPanel.jsx", "JavaScript JSX", 0, 119, 0, 6, 7, 132
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\incidents\pages\IncidentDetailPage.jsx", "JavaScript JSX", 0, 25, 0, -1, 10, 34
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\incidents\pages\IncidentsPage.jsx", "JavaScript JSX", 0, 50, 0, 1, 5, 56
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\predictions\PredictionUtils.js", "JavaScript", 0, 0, 10, -3, 2, 9
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\predictions\PredictionsPanel.jsx", "JavaScript JSX", 0, 57, 0, 3, -4, 56
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\resourcePredictions\ResourceDemandForm.jsx", "JavaScript JSX", 0, 149, 0, 10, 8, 167
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\tasks\components\IncidentTasksPanel.jsx", "JavaScript JSX", 0, 30, 0, -8, 7, 29
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\tasks\pages\TasksPage.jsx", "JavaScript JSX", 0, 34, 0, 3, 19, 56
"Total", "-", 0, 403, 10, -25, 76, 464
